,시도,소방서,119안전센터,주소,전화번호,위도,경도
0,서울,종로소방서,소방서,서울특별시 종로구 율곡로 78,02-6981-5600,37.5760971,127.0001363
1,서울,중부소방서,소방서,서울특별시 중구 퇴계로 394,02-2233-1219,37.5649203,127.01540614808982
2,서울,광진소방서,소방서,서울특별시 광진구 광나루로 480,02-6981-6600,37.5448355,127.0828649514028
3,서울,용산소방서,소방서,서울특별시 용산구 한강대로 167,02-6943-1400,37.5362589,126.974078
4,서울,동대문소방서,소방서,서울특별시 동대문구 장한로 34,02-6942-1200,37.5687297,127.0694493
5,서울,영등포소방서,소방서,서울특별시 영등포구 문래로 197,02-6981-7000,37.518591,126.8993316
6,서울,성북소방서,소방서,서울특별시 성북구 종암동 3-72,02-6981-7200,37.59631,127.03333
7,서울,은평소방서,소방서,서울특별시 은평구 통일로 962,02-6981-6000,37.62867155,126.91979652636364
8,서울,강남소방서,소방서,서울특별시 강남구 테헤란로 629,02-6981-7408,37.510354250000006,127.06688181068927
9,서울,서초소방서,소방서,서울특별시 서초구 사평대로 67,02-594-0119,37.5023285,127.0040099
10,서울,강서소방서,소방서,서울특별시 강서구 양천로 550,02-6981-5000,37.5731597,126.8100534
11,서울,강동소방서,소방서,서울특별시 강동구 성내로 39,02-6981-7600,37.5303036,127.1213939
12,서울,마포소방서,소방서,서울특별시 마포구 창전로 76,02-6981-7800,37.5450919,126.9313447
13,서울,도봉소방서,소방서,서울특별시 도봉구 도봉로 666,02-6981-8073,37.6641149,127.0430471
14,서울,구로소방서,소방서,서울특별시 구로구 경인로 408,02-6981-6320,37.4915478,126.8322217
15,서울,노원소방서,소방서,서울특별시 노원구 하계동 251-14,02-6981-6800,37.6224573,127.06815400564689
16,서울,관악소방서,소방서,서울특별시 관악구 관악로 97,02-6981-8200,37.4908796,126.9564157
17,서울,송파소방서,소방서,서울특별시 송파구 오금로51길 56,02-6981-5200,37.4995451,127.142095
18,서울,양천소방서,소방서,서울특별시 양천구 목동서로 180,02-6981-8600,37.5384905,126.8835659
19,서울,중랑소방서,소방서,서울특별시 중랑구 신내로 183,02-6981-8800,37.6200055,127.0852272
20,서울,동작소방서,소방서,서울특별시 동작구 여의대방로16길 55,02-6913-7770,37.4943788,126.9164443
21,서울,서대문소방서,소방서,서울특별시 서대문구 연희로 182,02-6981-5400,37.5661095,126.9296422
22,서울,강북소방서,소방서,서울특별시 강북구 한천로 911,02-6946-0100,37.6340656,127.0374292
23,서울,성동소방서,소방서,서울특별시 성동구 살곶이길 331,02-2622-1600,37.5650945,127.0474803
24,서울,금천소방서,소방서,서울특별시 금천구 시흥대로 342,02-6984-6479,37.4622272,126.8975564
72,경기,수원소방서,소방서,경기도 수원시 정자천로189번길 12,031-8012-9100,37.2971614,126.9959970344886
73,경기,수원남부소방서,소방서,경기도 수원시 권선구 동수원로 286,031-639-8100,37.2558244,127.0363804
74,경기,성남소방서,소방서,경기도 성남시 수정구 제일로 111,031-720-0100,37.436644799999996,127.13352888194765
75,경기,분당소방서,소방서,경기도 성남시 분당구 양현로 14,031-8018-3100,37.4090762,127.1249839
76,경기,부천소방서,소방서,경기도 부천시 신흥로 115 ,032-650-4100,37.5231045,126.7761573
77,경기,안양소방서,소방서,경기도 안양시 동안구 관평로212번길 32,031-470-0100,37.39592685,126.960686971657
78,경기,안산소방서,소방서,경기도 안산시 단원구 화랑로 407,031-470-7100,37.3344758,126.7969209
79,경기,용인소방서,소방서,경기도 용인시 처인구 명지로 45,031-8021-0100,37.2309836,127.1881504
80,경기,평택소방서,소방서,경기도 평택시 중앙로 273,031-8053-6100,36.99043905,127.1128410463269
81,경기,송탄소방서,소방서,경기도 평택시 경기대로 1627,031-685-8100,37.0474105,127.0600065
82,경기,광명소방서,소방서,경기도 광명시 금하로 472,02-2610-3100,37.44871835,126.88511644102317
83,경기,시흥소방서,소방서,경기도 시흥시 정왕신길로 206,031-310-0100,37.3566335,126.7286269
84,경기,군포소방서,소방서,경기도 군포시 고산로 429,031-479-8100,37.3525693,126.92708574548524
85,경기,화성소방서,소방서,경기도 화성시 향남읍 행정리 436-6,031-8012-6100,37.127186,126.91607533947194
86,경기,이천소방서,소방서,경기도 이천시 경충대로 2739,031-645-5100,37.2820305,127.4315863
87,경기,김포소방서,소방서,경기도 김포시 감암로 111,031-980-4100,37.6371499,126.7103637
88,경기,광주소방서,소방서,경기도 광주시 초월읍 무들로 112,031-799-2100,37.3873089,127.2958445
89,경기,안성소방서,소방서,경기도 안성시 미양로 855 ,031-678-4100,37.0011461,127.2654263
90,경기,하남소방서,소방서,경기도 하남시 대청로 76,031-799-4100,37.5399659,127.2218597
91,경기,의왕소방서,소방서,경기도 의왕시 오봉로 9 ,031-596-0100,37.34418945,126.97485635464201
92,경기,오산소방서,소방서,경기 오산시 내삼미동 880,031-8059-7100,37.1697305,127.0637921
